X,cdhit_meme,cdhit_streme,mmseqs_meme,mmseqs_streme
17.1,300.0,,,
17.1,300.0,,,
17.1,300.0,,,
17.1,300.0,,,
17.1,300.0,,,
17.1,300.0,,,
17.1,,300.0,,
17.1,,300.0,,
17.1,,300.0,,
17.1,,300.0,,
17.1,,,300.0,
17.1,,,300.0,
17.1,,,300.0,
17.1,,,300.0,
17.1,,,300.0,
17.1,,,300.0,
17.1,,,300.0,
17.1,,,300.0,
17.1,,,300.0,
17.1,,,,300.0
17.1,,,,300.0
17.1,,,,300.0
17.1,,,,300.0
17.1,300.0,,,
17.1,,298.1233412760151,,
17.1,289.7146445921499,,,
17.1,,258.1288736029085,,
17.1,,232.9220412365643,,
17.1,,209.8338176407767,,
17.1,,190.9640660223208,,
17.1,,189.9235415710956,,
17.1,,180.491251398841,,
17.1,,,,178.1786491315355
17.1,,172.1197632446337,,
17.1,,170.0261489838007,,
17.1,,164.7865912735758,,
17.1,162.6935471546237,,,
17.1,,,,151.0157135967397
17.1,,144.9029394607774,,
17.1,,142.8151586922121,,
17.1,,139.6761655838724,,
17.1,,128.1746243749527,,
17.1,,,128.0648870954359,
17.1,126.0913397620467,,,
17.1,,124.0010918549891,,
17.1,122.9577535147745,,,
17.1,108.3276163548421,,,
17.1,,107.2880400675002,,
17.1,,101.028274358178,,
17.1,,95.818163749768,,
17.1,92.69053126364308,,,
17.1,,91.65094405368072,,
17.1,,91.65094405368072,,
17.1,,88.51785533780938,,
17.1,,87.48116624280394,,
17.1,,84.35412228561437,,
17.1,,80.17969902783513,,
17.1,,,,77.01143542432351
17.1,,73.92198577553033,,
17.1,69.75182146981679,,,
17.1,,69.75182146981679,,
17.1,,68.71261612529214,,
17.1,,65.58481123937169,,
17.1,,63.50149026407284,,
17.1,,60.37674277301117,,
17.1,59.33522331359244,,,
17.1,,58.2986153980933,,
17.1,,58.2986153980933,,
17.1,,56.21807457425925,,
17.1,,49.96299596754314,,
17.1,,43.70713382054061,,
17.1,,40.57980125667081,,
17.1,24.96459520424037,,,
13.12767196703898,,,300.0,
11.84940510094776,300.0,,,
11.79563384450678,,300.0,,
11.15797844994543,300.0,,,
11.03617361255349,,,,300.0
10.90689059560852,,,197.8774202094675,
10.64835758200967,,300.0,,
10.32942263143429,300.0,,,
10.02928722696825,,,,213.6251699046818
9.827960126386799,,300.0,,
9.554137374584018,,300.0,,
9.498516826610686,220.5118661224043,,,
9.477913905371802,,,300.0,
9.334552633752422,300.0,,,
9.31628153174622,258.4438377663496,,,
9.252665432450248,,300.0,,
9.212699025132604,,,,300.0
9.212699025132604,,,,179.630761504946
9.204571144249204,,,,178.5956418981919
9.154818109052103,,,,57.59728911424657
9.067882472280823,,,162.0032734967452,
8.918863237274595,243.2233429521544,,,
8.679480099505446,,81.94065046071219,,
8.649854930396168,,,,240.1703730419842
8.582455645110581,,,,114.4214720488345
8.392794425607006,300.0,,,
8.3474631869945,300.0,,,
8.179909090014934,,,,57.19875353001362
8.098032082960527,,,134.2367722994215,
7.980139577639157,,,,98.62888253370247
7.965784284662087,,,,97.60436353405987
7.873504427113971,,,300.0,
7.862496476250064,,,248.5499344182687,
7.741466986401147,,,,103.4698952173391
7.487130686087271,,,,291.2960117051778
7.477206320365274,187.3150680227349,,,
7.473931188332412,,,152.6702489151789,
7.451211111832329,,,,300.0
7.422388276666575,,,,212.1850820167866
7.396275436347444,,,,208.1070300537101
7.389672701523197,300.0,,,
7.384937892413163,,,111.2270120628804,
7.359402800306025,,,296.0579288031097,
7.31112133993078,,,300.0,
7.279699859498065,,,300.0,
7.22881869049588,,85.0348206274386,,
7.049023445029508,,,,300.0
6.997493144389425,300.0,,,
6.968404984821222,300.0,,,
6.926790153046224,,,,300.0
6.854660636835961,300.0,,,
6.776830055044146,,,,291.142279877253
6.756794567928127,,,,300.0
6.666756591884804,,,230.5950760738203,
6.564784618783526,,128.1642455894344,,
6.564784618783526,,,300.0,
6.562936194391157,,,,93.88623041804524
6.53605290024021,,,,208.4892343414897
6.518325307690866,,,,98.91846115764422
6.372554167957331,,103.1311109772436,,
6.334752135244946,,,,199.6943341850387
6.219168520462161,,,,130.3865699386483
6.199911696979741,,,300.0,
6.154818109052104,,,,99.28579532722867
6.098422053240206,,,,159.9358175254119
6.087462841250339,,,,146.8267505778709
6.074000581443777,,,,110.5248143819584
6.06543653492034,,,,190.3740160693355
6.009984088572622,,,,99.57583618504614
5.974004791467055,,,,38.00678018241113
5.866248611111173,,,265.7266339926585,
5.773081555416325,300.0,,,
5.74978963452379,,,,94.30151408140958
5.742771215847412,,,,138.1390647113248
5.704544116473829,,,,300.0
5.618981521135695,,,300.0,
5.589408405752349,,,,106.2982998995226
5.556393348524385,,,,65.41024373964972
5.549684287453136,,,300.0,
5.54432051622381,,,,79.85170820463902
5.536940985858212,,,,105.5906811300996
5.457443065543843,,,,116.4729801433511
5.452459658029587,,,,231.6715997638357
5.416564969025438,,,,201.0114043612614
5.384368669663269,,300.0,,
5.376593070485744,300.0,,,
5.161131882984306,,176.3700487196022,,
4.928585666707837,,,,50.04934997577035
4.906890595608519,,,,38.11972845432339
4.875863699987894,,,,202.2321222779052
4.845490050944375,,,,34.09125323657085
4.783155227186273,,,,144.8894003723641
4.758445321576658,,,145.647972552363,
4.678071905112637,,,,45.72643039554325
4.634518325195389,,108.1883881070957,,
4.627736524411448,,,,62.67654275148075
4.612007323735384,,,300.0,
4.550869302052748,,,,253.4312881799015
4.385056073452827,300.0,,,
4.318023640431447,,,241.5136144706812,
4.285402218862249,,,227.9700905833389,
4.196397212803503,,14.61964971641905,,
4.140193791155416,,,300.0,
4.072461454012782,,300.0,,
4.049848549450561,,,,33.07966103553949
4.0,184.4206108376657,,,
4.0,,,,63.30391542638263
3.96231463422721,300.0,,,
3.959358015502655,,,17.39918827502458,
3.841935153767749,,88.364549153248,,
3.824428435416546,,,88.34198681555522,
3.508341219118244,,,,17.88917085224864
3.342105976824993,,36.04349259365247,,
3.242856523896164,,,,34.25518679568452
3.19068356160911,,,,39.57151102845674
3.090883803298005,85.18429382680453,,,
3.056709441791693,,,242.4885367937099,
2.654503433974233,,,,6.89381269655973
2.535523567986651,37.86926398607814,,,
2.494109070270043,67.30061269379034,,,
2.396902483348125,,,248.2968455013557,
2.394278939112046,,,58.33558635604346,
2.394077880643198,,,,26.48319286580142
2.347313413307276,,,79.23624531359576,
2.23163920955826,68.83645052460137,,,
2.185791406901334,27.16220802386869,,,
2.121688815789465,,,119.1068816794889,
1.961525852185364,,9.435215340238436,,
1.880643822960324,,,70.62473689833838,
1.849594449277112,,,54.56421599825426,
1.426010913856471,,,138.0987550192866,
1.321928094887362,,,,6.388783073735201
1.278186631066341,32.17964053421237,,,
1.25583890442959,,,,13.4888974487764
1.018262206392728,13.33403509299797,,,
